code	name	address
SCEFC	Spence and Cleone Eccles Football Center	580 Guardsman Way, Salt Lake City, UT 84112
SCMI	Sorenson Center for Medical Innovation	15 South Mario Capecchi Dr., Salt Lake City, UT
SCULPT	Sculpture Building	405 S 1530 E, Salt Lake City, UT 84112
SDH	State Dept of Health, South	46 N Mario Capecchi Drive, Salt Lake City, UT 84113-1105
SEFH	Spence Eccles Field House	650 Guardsman Way, Salt Lake City, UT 84108
SEISTA	Seismograph Stations - Multiple Sites	Various Locations
SFEBB	Spencer Fox Eccles Business Building	1655 Campus Ctr Dr, Salt Lake City, UT 84112
SFESOM	Spencer Fox Eccles School of Medicine - Building	1925 East Spence Eccles Drive, Salt Lake City, UT 84112
SHED	Athletics Field Storage	40.754649 N Negative 111.846785 W, Salt Lake City, UT 84112
SHOP	Shop Building	710 Guardsman Way, Salt Lake City, UT 84108
SILL	Sterling Sill Center	195 Central Campus Dr, Salt Lake City, UT 84112
SK H	L.S. Skaggs Hall	30 S 2000 E, Salt Lake City, UT 84112
SKI	Spence Eccles Ski Team Building	112 South Wasatch Dr, Salt Lake City, UT 84112
SKPM	Dermatology SkinPath Murray	168 East 5900 South, Murray, UT
SMBB	James LeVoy Sorenson Molecular Biotechnology Building - A USTAR Innovation  Center	36 S. Wasatch, Salt Lake City, UT 84112
SMG	South Medical Garage	5 S 2030 E, Salt Lake City, UT 84112
SOM	School of Medicine	30 N Medical Dr, Salt Lake City, UT 84132
SOM/HO	SOM/Hosp Offices (demolished)	3 S 2000 E, Salt Lake City, UT 84132
SOM507	SOM Research Bldg 507 (demolished)	55 E 2000 E, Salt Lake City, UT 84112
SOM511	SOM Research Bldg 511 (demolished)	2050 E Medical Dr S, Salt Lake City, UT 84112
SP 810	Sage Point 810	265 Fort Douglas Blvd, Salt Lake City, UT 84113
SP 811	Sage Point 811	220 Connor Rd, Salt Lake City, UT 84113
SP 812	Sage Point 812	260 Connor Rd, Salt Lake City, UT 84113
SP 813	Sage Point 813	290 Connor Rd, Salt Lake City, UT 84113
SP 814	Sage Point 814	295 Fort Douglas Blvd, Salt Lake City, UT 84113
SPACE	Space Planning & Management	25 S Wolcott, Salt Lake City, UT 84102-1815
SPINE	U Spine Rehab Center	1355 Foothill Dr, Salt Lake City, UT 84108
SPROUT	Em's Sprout House	290 Wakara Way, Salt Lake City, UT 84108
SR 825	Shoreline Ridge 825	2145 Red Butte Rd, Salt Lake City, UT 84113
SR 826	Shoreline Ridge 826	2165 Red Butte Rd, Salt Lake City, UT 84113
SR 827	Shoreline Ridge 827	2185 Red Butte Rd, Salt Lake City, UT 84113
SR 828	Shoreline Ridge 828	2195 Red Butte Rd, Salt Lake City, UT 84113
SR 829	Shoreline Ridge 829	2175 Red Butte Rd, Salt Lake City, UT 84113
SR 830	Shoreline Ridge 830	2155 Red Butte Rd, Salt Lake City, UT 84113
SRB	L.S. Skaggs Jr. Research Building	30 S. 2000 E., Salt Lake City, UT 84112
SRG	Shoreline Ridge Garage	28 South Medical Drive East, Salt Lake City, UT 84112
SSB	Student Services Building	201 S 1460 E, Salt Lake City, UT 84112
ST	William Stewart Building	270 S 1400 E, Salt Lake City, UT 84112
STAD	Rice-Eccles Stadium	451 S 1400 E, Salt Lake City, UT 84112
STAD C	Concession Stadium (demolished '99)	465 S 1400 E, Salt Lake City, UT 84112
STG HU	Storage Huts	1765 E S Campus Dr, Salt Lake City, UT 84112
STMGEN	Steam Generating Plant	172 S 1460 E, Salt Lake City, UT 84112
SURG	University Surgery Billing	747 E S Temple, Salt Lake City, UT 84102
SUU	Russell Taylor Health Sciences Building at Dixie State University	1526 E. Medical Center Dr, St George, UT 84790
SW	College of Social Work	395 S 1500 E, Salt Lake City, UT 84112
SWATC	Southwest Automotive Campus	101 E Nichols Canyon Rd, Cedar City, UT 84721
TANNER	Virginia Tanner Dance (Demolished 2013)	190 Wasatch Blvd, Salt Lake City, UT 84112
TBBC	Thatcher Building for Biological and Biophysical Chemistry	351 S 1400 E, Salt Lake City, UT 84112
TBD	Care Navigation Center	5224 W. Daybreak Parkway, South Jordan, UT 84009
TNEHEC ART STUDIO	Taft - Nicholson Environmental Humanities Education Center Art Studio	27700 S. Valley Road, Lima, MT 59739
TNEHEC ARTIST RESIDENCE	Taft - Nicholson Environmental Humanities Education Center Artist Residence	27700 S. Valley Road, Lima, MT 59739
TNEHEC CARETAKER	Taft - Nicholson Environmental Humanities Education Center Caretaker Residence & Shop	27700 S. Valley Road, Lima, MT 59739
TNEHEC CLASSROOM BUILDING	Taft - Nicholson Environmental Humanities Education Center Classroom Building	27700 S. Valley Road, Lima, MT 59739
TNEHEC DINING HALL	Taft - Nicholson Environmental Humanities Education Center Dining Hall & Event Center	27700 S. Valley Road, Lima, MT 59739
TNEHEC DORM	Taft - Nicholson Environmental Humanities Education Center Dormitory	Lima, MT
TNEHEC GUEST CABINS	Taft - Nicholson Environmental Humanities Education Center Guest Cabins	27700 S. Valley Road, Lima, MT 59739
TNEHEC MAINTENANCE STAFF	Taft - Nicholson Environmental Humanities Education Center Maintenance Staff Housing	27700 S. Valley Road, Lima, MT 59739
TNEHEC SHAMBOW HOUSE	Taft - Nicholson Environmental Humanities Education Center Shambow House	27700 S. Valley Road, Lima, MT 59739
TNEHEC SHEEP CABINS	Taft - Nicholson Environmental Humanities Education Center Big/Little Sheep Cabin	27700 S. Valley Road, Lima, MT 59739
TNEHEC STORAGE AND FUEL	Taft - Nicholson Environmental Humanities Education Center Storage Building	27700 S. Valley Road, Lima, MT 59739
TNEHEC VISITOR CENTER	Taft - Nicholson Environmental Humanities Education Center Visitor Center	27700 S. Valley Road, Lima, MT 59739
TNEHEC WOODWORKING SHOP	Taft - Nicholson Environmental Humanities Education Center Woodworking Shop	27700 S. Valley Road, Lima, MT 59739
TRANSF	Transformer Building	1395 E 500 S, Salt Lake City, UT 84112
TRANSMITER	KUER Communications Facilities - multiple sites	Various Kuer Locations - Transmitters
U CAMPSTOR	University Campus Store	270 S 1500 E, Salt Lake City, UT 84112
U HOSP	University Hospital	50 N Medical Dr, Salt Lake City, UT 84132
UBSB	University Business Services Building	127 S 500 E, Salt Lake City, UT 84102
UKIDS	University Kids	545 Guardsman Way, Salt Lake City, UT 84112
UMFA	Marcia & John Price Museum Building	410 Campus Ctr Dr, Salt Lake City, UT 84112
UNION	A. Ray Olpin Union	200 Central Campus Dr, Salt Lake City, UT 84112
USB	University Services Building (now Bldg 350)	1795 E S Campus Dr, Salt Lake City, UT 84112
USTAR3	Reserved for USTAR Bldg #3	?, Salt Lake City, UT 84112
USTAR4	Reserved for USTAR Bldg #4	?, Salt Lake City, UT 84112
UTAH TECH	Utah Tech University	225 S University Ave, St. George, UT 84770
UUCE	540 Arapeen Drive	540 Arapeen Dr, Salt Lake City, UT 84108
UUOC	590 Wakara (UU Orthopaedic Ctr)	590 Wakara Way, Salt Lake City, UT 84108
UUSOD	Ray & Tye Noorda Oral Health Sciences Building	530 Wakara Way, Salt Lake City, UT 84108
UUSODG	University of Utah School of Dentistry Garage	530 Wakara Way, Salt Lake City, UT 84108
V CUP	HCI Vineyard Central Utility Plant	Vineyard, UT
VAN CT	Van Cott Hall (Demolished 2006)	150 Wasatch Blvd, Salt Lake City, UT 84112
VOICE	Voice & Opera Center	104 S 1386 E, Salt Lake City, UT 84112
VRTUSB	V. Randall Turpin University Services Building	1795 E S Campus Dr, Salt Lake City, UT 84112
WAESGN	West Africa Ensign College of Public Health	Tema - Akosombo Rd., Kpong, ER
WBB	William C. Browning Building	135 S 1460 E, Salt Lake City, UT 84112
WEB	John and Marva Warnock Engineering Building	72 Central Campus Dr, Salt Lake City, UT 84112
WG	Williams Garage	295 Chipeta Way, Salt Lake City, UT 84108
WINTRO	Maxwell M. Wintrobe Research and Education Building	26 N Medical Dr, Salt Lake City, UT 84132
WMG	West Medical Garage	35 N Medical Dr, Salt Lake City, UT 84112
WPAV	West Pavilion (Hosp)	50 N Medical Dr, Salt Lake City, UT 84132
WPGP	West Pavilion Generating Plant	40.770934 N 111.837082 W, Salt Lake City, UT 84112
WV T	Reserved for West Valley Temp Clinic	West Valley City, UT
